                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97195,                 2.3093,                 1.1637,                0.88304,                0.41375,                0.67134,                0.47246,                0.96941,                 3.5183,                  1.124,                0.00054,                0.00054,                0.00054
                      2,                 1.0924,                  1.912,                 1.2051,                0.71422,                0.27389,                0.44603,                0.23881,                 1.6016,                 3.9427,                 1.6696,              0.0010891,              0.0010891,              0.0010891
                      3,                 1.3117,                 2.0203,                  1.338,                0.41501,                0.32076,                0.29118,                0.13621,                 1.9718,                 3.6492,                 1.7661,              0.0016271,              0.0016271,              0.0016271
                      4,                 1.3462,                 1.9359,                 1.3616,                0.06555,                0.06849,                0.01885,                0.00513,                  3.128,                 4.1953,                  3.099,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4091,                 1.8972,                 1.3978,                0.31981,                0.38356,                0.24981,                  0.103,                 2.0498,                 3.3226,                 1.9735,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.3768,                 1.7627,                 1.3945,                0.67911,                0.45205,                 0.5203,                0.30499,                 1.3426,                 2.8258,                 1.5358,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.3337,                 1.6608,                 1.3852,                0.53953,                0.69863,                0.64801,                0.38614,                 1.2814,                 3.0992,                 1.4934,               0.001901,               0.001901,               0.001901
                      8,                  1.349,                 1.6058,                 1.3907,                0.69535,                0.62537,                0.64061,                0.34166,                 1.4646,                 2.0816,                 1.4855,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.2668,                 1.5191,                 1.3488,                0.64111,                0.67123,                  0.638,                0.38515,                 1.2415,                 2.6318,                 1.3165,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.2681,                 1.4638,                 1.3545,                0.53265,                0.68696,                0.57199,                0.36861,                 1.2108,                 1.6953,                 1.2518,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2038,                 1.3506,                 1.2749,                0.59053,                0.71233,                 0.6017,                0.36911,                  1.146,                 1.6416,                 1.1825,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.1413,                 1.2667,                 1.2328,                0.61919,                0.71277,                0.71194,                0.44996,                 1.2178,                  1.538,                 1.2096,               0.001802,               0.001802,               0.001802
